"id","name","description","isActive","createdAt","updatedAt"
2,"Conteúdo","Departamento de produção de conteúdo","true","""2025-07-30T21:18:28.993Z""","""2025-07-30T21:18:28.993Z"""
3,"Design","Departamento de design gráfico e visual","true","""2025-07-30T21:18:28.993Z""","""2025-07-30T21:18:28.993Z"""
8,"PLANEJAMENTO","Departamento de planejamento","true","""2025-08-15T22:33:51.789Z""","""2025-08-15T22:33:51.789Z"""
9,"PR","Departamento de relações públicas","true","""2025-08-15T22:33:51.789Z""","""2025-08-15T22:33:51.789Z"""
11,"PRODUCAO","Departamento de produção","true","""2025-08-15T22:33:51.789Z""","""2025-08-15T22:33:51.789Z"""
12,"SOCIAL","Departamento de social media","true","""2025-08-15T22:38:42.304Z""","""2025-08-15T22:38:42.304Z"""
13,"MÍDIA","Departamento de mídia","true","""2025-08-15T22:38:42.304Z""","""2025-08-15T22:38:42.304Z"""
14,"MKT INFLUENCER","Departamento de marketing de influência","true","""2025-08-15T22:38:42.304Z""","""2025-08-15T22:38:42.304Z"""
7,"CRIACAO","Departamento de criação","false","""2025-08-15T22:33:51.789Z""","""2025-08-18T20:13:56.731Z"""
6,"ATENDIMENTO","Departamento de atendimento ao cliente","false","""2025-08-15T22:33:51.789Z""","""2025-08-27T18:51:30.855Z"""
10,"COMERCIAL","Departamento comercial","false","""2025-08-15T22:33:51.789Z""","""2025-08-27T18:51:34.875Z"""
1,"Criação","Departamento de criação e desenvolvimento criativo","false","""2025-07-30T21:18:28.993Z""","""2025-09-02T23:21:48.599Z"""
4,"Mídia","Departamento de mídia paga e performance","false","""2025-07-30T21:18:28.993Z""","""2025-09-02T23:22:36.391Z"""
